{0,0,3,"Electric Grand Piano",20},
{0,1,3,"Electric Grand Piano KSP",24},
{0,32,3,"Detuned CP80",12},
{0,0,4,"Honky-tonk Piano",16},
{0,1,4,"Honky-tonk Piano KSP",20},
{0,0,5,"Electric Piano 1",16},
{0,1,5,"Electric Piano 1 KSP",20},
{0,32,5,"Chorus Electric Piano 1",23},
{0,0,6,"Electric Piano 2",16},
{0,1,6,"Electric Piano 2 KSP",20},
{0,32,6,"Chorus Electric Piano 2 *",25},
{0,41,6,"DX + Analog Electric Piano",26},
{0,0,7,"Harpsichord",11},
{0,1,7,"Harpsichord KSP",15},
{0,35,7,"Harpsichord 2",13},
{0,0,8,"Clavi",5},
{0,1,8,"Clavi KSP",9},
{0,0,9,"Celesta",7},
{0,0,10,"Glockenspiel",12},
{0,0,11,"Music Box",9},
{0,64,11,"Music Box 2",11},
{0,0,12,"Vibraphone",10},
{0,1,12,"Vibraphone KSP",14},
{0,0,13,"Marimba",7},
{0,1,13,"Marimba KSP",11},
{0,64,13,"Sine Marimba",12},
{0,97,13,"Balimba",7},
{0,98,13,"Log Drums",9},
{0,0,14,"Xylophone",9},
{0,0,15,"Tubular Bells",13},
{0,96,15,"Church Bells",12},
{0,97,15,"Carillon",8},
{0,0,16,"Dulcimer",8},
{0,35,16,"Dulcimer 2",10},
{0,96,16,"Cimbalom",8},
{0,97,16,"Santur",6},
{0,0,17,"Drawbar Organ",13},
{0,32,17,"Detuned Drawbar Organ",21},
{0,33,17,"60s Drawbar Organ",17},
{0,34,17,"60s Drawbar Organ 2",19},
{0,35,17,"70s Drawbar Organ",17},
{0,37,17,"60s Drawbar Organ 3",19},
{0,40,17,"16'+2'2/3 Organ",15},
{0,64,17,"Organ Bass",10},
{0,65,17,"70s Drawbar Organ 2",19},
{0,66,17,"Cheezy Organ",12},
{0,67,17,"Drawbar Organ 2",15},
{0,0,18,"Percussive Organ",16},
{0,24,18,"70s Percussive Organ",20},
{0,32,18,"Detuned Percussive Organ",24},
{0,33,18,"Light Organ",11},
{0,37,18,"Percussive Organ 2",18},
{0,0,19,"Rock Organ",10},
{0,64,19,"Rotary Organ",12},
{0,65,19,"Slow Rotary Organ",17},
{0,66,19,"Fast Rotary Organ",17},
{0,0,20,"Church Organ",12},
{0,32,20,"Church Organ 3",14},
{0,35,20,"Church Organ 2",14},
{0,40,20,"Notre Dame",10},
{0,64,20,"Organ Flute",11},
{0,65,20,"Tremolo Organ Flute",19},
{0,0,21,"Reed Organ",10},
{0,40,21,"Puff Organ",10},
{0,0,22,"Accordion",9},
{0,0,23,"Harmonica",9},
{0,32,23,"Harmonica 2",11},
{0,0,24,"Tango Accordion",15},
{0,64,24,"Tango Accordion 2",17},
{0,0,25,"Nylon Guitar",12},
{0,43,25,"Velocity Guitar Harmonics",25},
{0,96,25,"Ukulele",7},
{0,0,26,"Steel Guitar",12},
{0,35,26,"12String Guitar",15},
{0,40,26,"Nylon & Steel Guitar",20},
{0,41,26,"Steel Guitar with Body Sound",28},
{0,96,26,"Mandolin",8},
{0,0,27,"Jazz Guitar",11},
{0,32,27,"Jazz Amp",8},
{0,0,28,"Clean Guitar",12},
{0,32,28,"Chorus Guitar",13},
{0,0,29,"Muted Guitar",12},
{0,40,29,"Funk Guitar",11},
{0,41,29,"Muted Steel Guitar",18},
{0,45,29,"Jazz Man",8},
{0,0,30,"Overdriven Guitar",17},
{0,43,30,"Guitar Pinch",12},
{0,0,31,"Distortion Guitar",17},
{0,40,31,"Feedback Guitar",15},
{0,41,31,"Feedback Guitar 2",17},
{0,0,32,"Guitar Harmonics",16},
{0,65,32,"Guitar Feedback",15},
{0,66,32,"Guitar Harmonics 2",18},
{0,0,33,"Acoustic Bass",13},
{0,40,33,"Jazz Rhythm",11},
{0,45,33,"Velocity Crossfade Upright Bass",31},
{0,0,34,"Finger Bass",11},
{0,18,34,"Finger Bass Dark",16},
{0,40,34,"Bass & Distorted Electric Guitar",32},
{0,43,34,"Finger Slap Bass",16},
{0,45,34,"Finger Bass 2",13},
{0,65,34,"Modulated Bass",14},
{0,0,35,"Pick Bass",9},
{0,28,35,"Muted Pick Bass",15},
{0,0,36,"Fretless Bass",13},
{0,32,36,"Fretless Bass 2",15},
{0,33,36,"Fretless Bass 3",15},
{0,34,36,"Fretless Bass 4",15},
{0,0,37,"Slap Bass 1",11},
{0,32,37,"Punch Thumb Bass",16},
{0,0,38,"Slap Bass 2",11},
{0,43,38,"Velocity Switch Slap",20},
{0,0,39,"Synth Bass 1",12},
{0,40,39,"Techno Synth Bass",17},
{0,0,40,"Synth Bass 2",12},
{0,6,40,"Mellow Synth Bass",17},
{0,12,40,"Sequenced Bass",14},
{0,18,40,"Click Synth Bass",16},
{0,19,40,"Synth Bass 2 Dark",17},
